Weather and Climate Billion-Dollar Disasters to affect the U.S.: 2023
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Northeastern Winter Storm/Cold Wave (February 2023),Winter Storm,20230202,20230205,1838.8,1751,1
Southern and Eastern Severe Weather (March 2023),Severe Storm,20230302,20230303,6170,5876,13
California Flooding (December 2022 - March 2023),Flooding,20221226,20230319,4725,4500,22
Southern and Eastern Severe Weather (April 2023),Severe Storm,20230324,20230326,2956,2815,23
Central Tornado Outbreak and Eastern Severe Weather (March 2023),Severe Storm,20230331,20230401,5909.8,5628,33
Central and Eastern Severe Weather (April 2023),Severe Storm,20230404,20230406,2956.1,2815,5
Fort Lauderdale Flash Flood (April 2023),Flooding,20230412,20230413,1144,1100,0
Central and Southern Severe Weather (April 2023),Severe Storm,20230415,20230415,1401.9,1335,0
Central Severe Weather (April 2023),Severe Storm,20230419,20230420,3108.3,2960,1
Southern Severe Weather (April 2023),Severe Storm,20230425,20230427,1372.8,1320,0
Central Severe Weather (May 2023),Severe Storm,20230506,20230508,2222.5,2137,1
Central and Eastern Tornadoes and Hail Storms (May 2023),Severe Storm,20230510,20230512,3563,3426,1
Texas Hail Storms (May 2023),Severe Storm,20230518,20230519,1690,1625,0
Typhoon Mawar (May 2023),Tropical Cyclone,20230524,20230525,4420,4250,2
Southern Severe Weather (June 2023),Severe Storm,20230611,20230614,4193.2,4032,0
Central and Southern Severe Weather (June 2023),Severe Storm,20230615,20230618,3918.7,3768,5
Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),Severe Storm,20230621,20230626,5453.9,5244,8
Central Severe Weather (June 2023),Severe Storm,20230628,20230702,1976.8,1919,3
Northeastern Flooding and North Central Severe Weather (July 2023),Flooding,20230709,20230715,2230.4,2165,10
North Central and Southeastern Severe Weather (July 2023),Severe Storm,20230719,20230721,1887,1832,1
North Central and Eastern Severe Weather (July 2023),Severe Storm,20230728,20230729,1526.6,1482,2
Hawaii Firestorm (August 2023),Wildfire,20230808,20230808,5665,5500,100
Northeastern and Eastern Severe Weather (August 2023),Severe Storm,20230805,20230808,1680.2,1631,4
Minnesota Hail Storms (August 2023),Severe Storm,20230811,20230811,1828.3,1775,0
Hurricane Idalia (August 2023),Tropical Cyclone,20230829,20230831,3559.7,3456,5
Southern Hail Storms (September 2023),Severe Storm,20230923,20230924,1694.5,1645,0
Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),Drought,20230401,20230930,14786.7,14082,247
East Coast Storm and Flooding (December 2023),Flooding,20231216,20231218,1314.4,1276,5
